epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.6706,1.87019,3.7326,1.56825,0.00683,1,0.31762,0.18418,1.19742,3.14281,1.08694,0.000466612,0.000466612,0.000466612
2,35.5948,1.30243,2.08972,1.10435,0.38149,0.30917,0.47956,0.31533,1.12775,2.22375,0.99894,0.000938278,0.000938278,0.000938278
3,49.6144,1.17441,1.83244,1.05006,0.3732,0.81657,0.533,0.34399,1.2617,1.60357,1.03251,0.00140523,0.00140523,0.00140523
4,63.3567,1.16653,1.67833,1.05968,0.41869,0.8223,0.6075,0.41161,1.08646,1.35611,1.02441,0.00140778,0.00140778,0.00140778
5,76.9727,1.14397,1.55579,1.06087,0.56065,0.78086,0.65232,0.45187,1.07747,1.2735,1.05219,0.00140071,0.00140071,0.00140071
6,90.6418,1.12264,1.47217,1.04124,0.5203,0.78487,0.67506,0.46111,1.0908,1.17439,1.05361,0.00139363,0.00139363,0.00139363
7,104.304,1.12637,1.43338,1.04944,0.5289,0.79235,0.67895,0.46324,1.06538,1.08563,1.03478,0.00138656,0.00138656,0.00138656
8,117.939,1.07968,1.34437,1.028,0.59487,0.76716,0.68738,0.47773,1.05147,1.13924,1.05815,0.00137949,0.00137949,0.00137949
9,131.584,1.06663,1.30857,1.01847,0.52965,0.86603,0.68771,0.47553,1.10826,1.14073,1.07818,0.00137241,0.00137241,0.00137241
10,145.16,1.05229,1.23896,1.01472,0.58698,0.81028,0.7091,0.49874,1.05945,1.02323,1.03657,0.00136534,0.00136534,0.00136534
11,158.795,1.07138,1.18369,1.02306,0.49677,0.80263,0.71281,0.49428,1.05912,1.06254,1.05027,0.00135826,0.00135826,0.00135826
12,172.409,1.06184,1.16546,1.00944,0.51723,0.83053,0.67334,0.46392,1.08998,1.09795,1.04503,0.00135119,0.00135119,0.00135119
13,186.066,1.03984,1.12465,1.00182,0.54463,0.82932,0.71838,0.50053,1.05033,0.97451,1.02188,0.00134412,0.00134412,0.00134412
14,199.697,1.06202,1.15536,1.02354,0.55646,0.81596,0.72725,0.51581,1.06093,1.0583,1.06273,0.00133704,0.00133704,0.00133704
15,213.396,1.03293,1.10452,1.01979,0.53769,0.75764,0.70707,0.48592,1.07187,1.02636,1.04044,0.00132997,0.00132997,0.00132997
16,226.956,1.02393,1.06785,1.00634,0.57927,0.85353,0.71137,0.49818,1.06069,0.98448,1.05126,0.0013229,0.0013229,0.0013229
17,240.551,1.00566,1.06321,0.99382,0.58483,0.83797,0.71465,0.50056,1.07219,0.98594,1.10698,0.00131582,0.00131582,0.00131582
18,254.173,1.04191,1.05714,1.00686,0.59598,0.81127,0.69438,0.47482,1.11157,1.02177,1.04746,0.00130875,0.00130875,0.00130875
19,267.744,1.02053,1.04686,1.00665,0.63561,0.69596,0.73624,0.52081,1.06784,1.06408,1.06044,0.00130168,0.00130168,0.00130168
20,281.343,1.02276,1.04106,1.01335,0.62309,0.75305,0.74413,0.51711,1.07442,1.03746,1.08965,0.0012946,0.0012946,0.0012946
21,294.912,1.00743,0.98519,1.00096,0.51472,0.84061,0.71862,0.4953,1.12817,0.98449,1.07354,0.00128753,0.00128753,0.00128753
22,308.457,1.00075,0.99318,1.00191,0.5765,0.82616,0.71889,0.49881,1.10406,0.96431,1.06452,0.00128046,0.00128046,0.00128046
23,322.012,0.97902,0.97312,0.98686,0.65982,0.74461,0.73427,0.51625,1.07152,0.93548,1.04835,0.00127338,0.00127338,0.00127338
24,335.603,0.99023,0.97961,1.00521,0.62753,0.71603,0.73712,0.51645,1.07342,0.96934,1.05468,0.00126631,0.00126631,0.00126631
25,349.274,0.9787,0.94711,0.99106,0.55597,0.77297,0.71773,0.50424,1.06456,0.97651,1.04756,0.00125923,0.00125923,0.00125923
26,362.818,0.95437,0.93534,0.98698,0.59956,0.77175,0.71138,0.48002,1.12696,0.94106,1.07055,0.00125216,0.00125216,0.00125216
27,376.425,0.97946,0.9281,1.00046,0.62609,0.84404,0.7492,0.51889,1.06857,0.9347,1.06977,0.00124509,0.00124509,0.00124509
28,390.033,0.98591,0.90297,0.98997,0.56274,0.86521,0.6878,0.46999,1.08926,0.98444,1.08414,0.00123801,0.00123801,0.00123801
29,403.635,0.95464,0.91924,0.98848,0.57095,0.83203,0.69433,0.49011,1.09232,0.97059,1.07335,0.00123094,0.00123094,0.00123094
30,417.25,0.93333,0.88027,0.98433,0.60462,0.84698,0.71995,0.51393,1.07982,0.92642,1.04729,0.00122387,0.00122387,0.00122387
31,430.8,0.96711,0.88654,0.98621,0.64238,0.83267,0.73716,0.51604,1.1109,0.95078,1.07616,0.00121679,0.00121679,0.00121679
32,444.421,0.96953,0.87794,0.99027,0.63993,0.76451,0.74298,0.51814,1.09537,0.9419,1.09438,0.00120972,0.00120972,0.00120972
33,458.086,0.98094,0.86081,1.0076,0.47512,0.82428,0.65367,0.46744,1.08097,1.09033,1.06602,0.00120265,0.00120265,0.00120265
34,471.716,0.96708,0.86284,0.99614,0.55931,0.67889,0.66331,0.44997,1.11446,1.04331,1.09662,0.00119557,0.00119557,0.00119557
35,485.295,0.96617,0.86623,0.98714,0.46617,0.83793,0.66869,0.45914,1.14026,1.06004,1.05806,0.0011885,0.0011885,0.0011885
36,498.852,0.93261,0.83809,0.97058,0.59,0.85693,0.70497,0.49657,1.06448,0.9706,1.06194,0.00118143,0.00118143,0.00118143
37,512.426,0.93499,0.88053,0.98662,0.49825,0.86533,0.69346,0.496,1.06203,1.02226,1.05758,0.00117435,0.00117435,0.00117435
38,526.075,0.97379,0.82377,0.9983,0.52131,0.83949,0.70182,0.47411,1.17934,0.94777,1.08209,0.00116728,0.00116728,0.00116728
39,539.672,0.91611,0.82629,0.97066,0.56125,0.82821,0.70238,0.50025,1.06592,0.98901,1.12478,0.00116021,0.00116021,0.00116021
40,553.234,0.92023,0.79124,0.9796,0.59031,0.74657,0.69654,0.49427,1.08446,0.94337,1.11472,0.00115313,0.00115313,0.00115313
41,566.883,0.94362,0.84268,0.97903,0.61445,0.66921,0.67262,0.45606,1.10673,1.10632,1.08142,0.00114606,0.00114606,0.00114606
42,580.495,0.92765,0.80005,0.97458,0.64077,0.66656,0.70077,0.50058,1.04319,0.99482,1.04529,0.00113898,0.00113898,0.00113898
43,594.114,0.91861,0.77566,0.97157,0.64428,0.69533,0.71154,0.49549,1.1037,1.03483,1.08739,0.00113191,0.00113191,0.00113191
44,607.754,0.91476,0.78725,0.97315,0.62598,0.76257,0.70464,0.49083,1.04252,0.99907,1.07119,0.00112484,0.00112484,0.00112484
45,621.406,0.92351,0.76998,0.96417,0.5284,0.75958,0.65536,0.45224,1.11039,1.05011,1.09468,0.00111776,0.00111776,0.00111776
46,635.039,0.94176,0.75402,0.98187,0.61835,0.6879,0.7272,0.50682,1.10032,1.0038,1.09388,0.00111069,0.00111069,0.00111069
47,648.633,0.92341,0.75864,0.98656,0.60103,0.74661,0.69243,0.49084,1.09279,1.06995,1.09007,0.00110362,0.00110362,0.00110362
48,662.257,0.90112,0.73236,0.97217,0.49368,0.77233,0.64398,0.45013,1.08767,1.1996,1.09335,0.00109654,0.00109654,0.00109654
49,675.881,0.87867,0.73475,0.96124,0.55265,0.80047,0.68203,0.46339,1.10652,1.01628,1.12762,0.00108947,0.00108947,0.00108947
50,689.477,0.8971,0.70956,0.97006,0.54565,0.81685,0.6931,0.48351,1.1061,1.01597,1.11098,0.0010824,0.0010824,0.0010824
51,703.092,0.89751,0.73372,0.96803,0.61179,0.69562,0.69337,0.48184,1.08934,0.9721,1.09065,0.00107532,0.00107532,0.00107532
52,716.699,0.88745,0.67977,0.95789,0.58451,0.73626,0.71911,0.51541,1.04335,1.00305,1.05743,0.00106825,0.00106825,0.00106825
53,730.307,0.87648,0.70239,0.96244,0.63022,0.70979,0.68699,0.49127,1.06824,0.9931,1.08271,0.00106118,0.00106118,0.00106118
54,743.921,0.86588,0.7065,0.96949,0.63595,0.72463,0.7005,0.49209,1.07053,1.01838,1.07547,0.0010541,0.0010541,0.0010541
55,757.55,0.88557,0.65973,0.95828,0.60166,0.72333,0.68647,0.47123,1.10626,1.07107,1.07385,0.00104703,0.00104703,0.00104703
56,771.173,0.91576,0.66017,0.97287,0.56925,0.71597,0.67872,0.46754,1.10962,1.11808,1.11679,0.00103995,0.00103995,0.00103995
57,784.731,0.87392,0.64647,0.96102,0.59389,0.64002,0.63449,0.43211,1.09674,1.18633,1.09901,0.00103288,0.00103288,0.00103288
58,798.29,0.87957,0.66705,0.96766,0.56942,0.7267,0.65206,0.45714,1.0653,1.12114,1.08704,0.00102581,0.00102581,0.00102581
59,811.86,0.85607,0.64417,0.95752,0.5048,0.71056,0.60651,0.42422,1.07644,1.28234,1.09901,0.00101873,0.00101873,0.00101873
60,825.436,0.87823,0.67521,0.96946,0.57481,0.78255,0.67485,0.46576,1.075,1.05839,1.10426,0.00101166,0.00101166,0.00101166
61,839.023,0.87057,0.60349,0.94986,0.53936,0.85887,0.69551,0.48271,1.11882,1.03819,1.11101,0.00100459,0.00100459,0.00100459
62,852.594,0.87916,0.64241,0.95898,0.5498,0.75454,0.68897,0.47164,1.12693,1.09551,1.12907,0.000997513,0.000997513,0.000997513
63,866.236,0.89144,0.63705,0.96518,0.57776,0.78669,0.66949,0.45565,1.1118,1.11414,1.12306,0.00099044,0.00099044,0.00099044
64,879.834,0.84868,0.60855,0.94935,0.57774,0.71487,0.63504,0.451,1.06603,1.12073,1.08446,0.000983366,0.000983366,0.000983366
65,893.454,0.87529,0.6324,0.96305,0.51467,0.73915,0.63558,0.44818,1.06254,1.22468,1.08488,0.000976293,0.000976293,0.000976293
66,907.037,0.8341,0.58847,0.95575,0.54091,0.7216,0.62916,0.4443,1.08715,1.22386,1.09384,0.000969219,0.000969219,0.000969219
67,920.651,0.86712,0.60266,0.95688,0.51232,0.78422,0.61182,0.42903,1.07082,1.2311,1.07867,0.000962146,0.000962146,0.000962146
68,934.237,0.83288,0.57133,0.94668,0.56321,0.72982,0.66351,0.45864,1.1021,1.12235,1.10388,0.000955072,0.000955072,0.000955072
69,947.874,0.84205,0.61256,0.94205,0.61572,0.63478,0.61914,0.43447,1.10394,1.17153,1.11339,0.000947999,0.000947999,0.000947999
70,961.478,0.82749,0.57085,0.94258,0.54818,0.76648,0.66145,0.46604,1.07205,1.10673,1.08144,0.000940925,0.000940925,0.000940925
71,975.016,0.84697,0.55924,0.95454,0.5793,0.68205,0.64914,0.45738,1.07343,1.10747,1.0983,0.000933851,0.000933851,0.000933851
72,988.604,0.82794,0.54022,0.94443,0.55893,0.77593,0.67482,0.46178,1.14495,1.12537,1.13604,0.000926778,0.000926778,0.000926778
73,1002.25,0.83616,0.57214,0.94715,0.61557,0.70935,0.65735,0.46554,1.07413,1.0827,1.11667,0.000919704,0.000919704,0.000919704
74,1015.86,0.84774,0.5775,0.95567,0.41692,0.70483,0.58169,0.41088,1.09897,1.42019,1.12298,0.000912631,0.000912631,0.000912631
75,1029.48,0.8261,0.55046,0.93824,0.50389,0.71185,0.59818,0.41642,1.1061,1.25342,1.11676,0.000905557,0.000905557,0.000905557
76,1043.08,0.84136,0.54743,0.94863,0.55198,0.73443,0.64712,0.45024,1.12189,1.19978,1.13998,0.000898484,0.000898484,0.000898484
77,1056.73,0.83689,0.55609,0.94572,0.54576,0.75333,0.65402,0.45007,1.14593,1.27744,1.14363,0.00089141,0.00089141,0.00089141
78,1070.38,0.82966,0.53198,0.93204,0.58428,0.74717,0.66561,0.46455,1.07364,1.21041,1.08618,0.000884337,0.000884337,0.000884337
79,1083.96,0.82536,0.5507,0.929,0.52243,0.82031,0.64,0.4507,1.11419,1.10227,1.13973,0.000877263,0.000877263,0.000877263
80,1097.55,0.8293,0.5475,0.93685,0.53009,0.75305,0.59847,0.41846,1.09239,1.2198,1.12094,0.00087019,0.00087019,0.00087019
81,1111.17,0.82537,0.52278,0.93503,0.56468,0.77223,0.63947,0.44622,1.10732,1.23722,1.10111,0.000863116,0.000863116,0.000863116
82,1124.75,0.79929,0.53496,0.92833,0.52803,0.74375,0.62118,0.42322,1.16538,1.23566,1.14415,0.000856042,0.000856042,0.000856042
83,1138.32,0.80279,0.53663,0.92922,0.60526,0.67093,0.67807,0.47555,1.09195,1.15464,1.1263,0.000848969,0.000848969,0.000848969
84,1151.95,0.80618,0.52274,0.93326,0.54528,0.73653,0.64508,0.46111,1.09157,1.15204,1.09643,0.000841895,0.000841895,0.000841895
85,1165.53,0.79904,0.52181,0.93709,0.59827,0.64066,0.62239,0.4413,1.07982,1.21387,1.12731,0.000834822,0.000834822,0.000834822
86,1179.12,0.79354,0.49186,0.93311,0.60006,0.74269,0.66702,0.46591,1.09497,1.14713,1.13358,0.000827748,0.000827748,0.000827748
87,1192.6,0.79932,0.51064,0.92719,0.59625,0.7144,0.64515,0.45556,1.09225,1.22286,1.1155,0.000820675,0.000820675,0.000820675
88,1206.15,0.79254,0.52049,0.91802,0.50388,0.7682,0.63033,0.44682,1.08789,1.26798,1.1066,0.000813601,0.000813601,0.000813601
89,1219.86,0.79819,0.51508,0.92826,0.47543,0.71105,0.62925,0.44325,1.09807,1.31003,1.10048,0.000806528,0.000806528,0.000806528
90,1233.41,0.77695,0.48752,0.92572,0.53309,0.79055,0.67612,0.46936,1.08825,1.24946,1.1003,0.000799454,0.000799454,0.000799454
91,1247,0.78481,0.50614,0.93429,0.57968,0.73982,0.67613,0.47625,1.10234,1.20382,1.13942,0.00079238,0.00079238,0.00079238
92,1260.59,0.76812,0.48707,0.91735,0.57613,0.78352,0.65178,0.4571,1.08158,1.28778,1.11842,0.000785307,0.000785307,0.000785307
93,1274.18,0.77067,0.50323,0.92185,0.52991,0.77417,0.6286,0.44761,1.08582,1.2418,1.11213,0.000778233,0.000778233,0.000778233
94,1287.77,0.7836,0.49009,0.91699,0.55652,0.75472,0.63823,0.45268,1.09203,1.21049,1.13566,0.00077116,0.00077116,0.00077116
95,1301.35,0.75398,0.48092,0.91707,0.51085,0.75705,0.61057,0.42824,1.08118,1.21187,1.10963,0.000764086,0.000764086,0.000764086
96,1314.93,0.76615,0.47824,0.92112,0.55222,0.61598,0.58154,0.41773,1.07487,1.47719,1.12946,0.000757013,0.000757013,0.000757013
97,1328.59,0.75627,0.47431,0.92648,0.49142,0.76935,0.63261,0.44464,1.13248,1.23665,1.17417,0.000749939,0.000749939,0.000749939
98,1342.19,0.76787,0.48667,0.91446,0.50461,0.7186,0.59457,0.41965,1.08699,1.38084,1.10119,0.000742866,0.000742866,0.000742866
99,1355.79,0.75726,0.45718,0.91981,0.5337,0.67632,0.59587,0.417,1.09976,1.37769,1.12042,0.000735792,0.000735792,0.000735792
100,1369.41,0.75494,0.46824,0.91312,0.55966,0.75278,0.67231,0.46477,1.11179,1.22986,1.12431,0.000728719,0.000728719,0.000728719
101,1382.96,0.74541,0.48507,0.91307,0.59948,0.77456,0.70472,0.49703,1.11201,1.11721,1.11372,0.000721645,0.000721645,0.000721645
102,1396.53,0.76873,0.47487,0.92118,0.56089,0.76881,0.65245,0.45863,1.10599,1.24374,1.10652,0.000714571,0.000714571,0.000714571
103,1410.09,0.75132,0.45546,0.90861,0.52759,0.77442,0.64016,0.44096,1.09956,1.21185,1.1096,0.000707498,0.000707498,0.000707498
104,1423.77,0.74741,0.46215,0.91338,0.56268,0.77578,0.64002,0.4519,1.07469,1.18171,1.10255,0.000700424,0.000700424,0.000700424
105,1437.37,0.74302,0.47031,0.90279,0.60253,0.77969,0.67471,0.47832,1.05858,1.16203,1.10008,0.000693351,0.000693351,0.000693351
106,1450.91,0.70421,0.42448,0.90052,0.62018,0.75369,0.69802,0.49097,1.06679,1.1473,1.11297,0.000686277,0.000686277,0.000686277
107,1464.46,0.72277,0.43952,0.90469,0.54065,0.71364,0.62195,0.43439,1.10226,1.32889,1.11776,0.000679204,0.000679204,0.000679204
108,1478.05,0.73214,0.45481,0.91856,0.5878,0.72366,0.6596,0.46852,1.0802,1.25678,1.12349,0.00067213,0.00067213,0.00067213
109,1491.73,0.7283,0.44431,0.91627,0.56947,0.80215,0.68436,0.48224,1.10113,1.2063,1.12885,0.000665057,0.000665057,0.000665057
110,1505.35,0.72072,0.43833,0.89867,0.61169,0.72085,0.70466,0.50128,1.07106,1.14127,1.11812,0.000657983,0.000657983,0.000657983
111,1518.88,0.70299,0.4326,0.89521,0.62465,0.71222,0.67221,0.48534,1.0772,1.21642,1.12314,0.000650909,0.000650909,0.000650909
112,1532.51,0.71089,0.43922,0.90061,0.53429,0.73779,0.62732,0.45049,1.04282,1.20544,1.11321,0.000643836,0.000643836,0.000643836
113,1546.12,0.71221,0.4463,0.90348,0.52971,0.74864,0.63685,0.45746,1.05476,1.24889,1.10344,0.000636762,0.000636762,0.000636762
114,1559.71,0.71555,0.45146,0.90325,0.57983,0.67609,0.64255,0.45066,1.07565,1.21336,1.12405,0.000629689,0.000629689,0.000629689
115,1573.29,0.71065,0.43157,0.90607,0.50274,0.74442,0.61271,0.42055,1.11592,1.36415,1.13918,0.000622615,0.000622615,0.000622615
116,1586.88,0.69392,0.43941,0.89791,0.62695,0.67602,0.63158,0.43836,1.16752,1.31214,1.18458,0.000615542,0.000615542,0.000615542
117,1600.54,0.70074,0.42347,0.89918,0.56472,0.68915,0.61834,0.43958,1.11653,1.37069,1.1468,0.000608468,0.000608468,0.000608468
118,1614.1,0.7015,0.43481,0.89399,0.66059,0.65995,0.68288,0.47727,1.12543,1.17462,1.15777,0.000601395,0.000601395,0.000601395
119,1627.65,0.69307,0.42816,0.90032,0.52046,0.68149,0.62176,0.43926,1.1222,1.3487,1.18616,0.000594321,0.000594321,0.000594321
